Opponent,GF,GA,Outcome
Montreal Canadiens,6,0,W
Toronto Maple Leafs,2,0,W
Winnipeg Jets,3,1,W
Vancouver Canucks,4,1,W
New York Islanders,1,0,W
Montreal Canadiens,3,6,L
Calgary Flames,1,2,L
Edmonton Oilers,2,5,L
Vancouver Canucks,4,1,W
Seattle Kraken,6,1,W
Washington Capitals,4,2,W
Anaheim Ducks,1,0,W
Montreal Canadiens,5,2,W
Buffalo Sabres,3,2,W
New Jersey Devils,3,2,W
San Jose Sharks,8,5,W
St. Louis Blues,5,3,W
Philadelphia Flyers,6,2,W
Dallas Stars,2,3,L
Anaheim Ducks,4,1,W
Los Angeles Kings,2,6,L
San Jose Sharks,2,1,W
Vegas Golden Knights,5,3,W
Ottawa Senators,6,4,W
Columbus Blue Jackets,5,2,W
Winnipeg Jets,3,2,W
Arizona Coyotes,6,3,W
Seattle Kraken,1,2,L
Detroit Red Wings,2,3,L
Los Angeles Kings,3,4,L
Washington Capitals,3,4,L
Boston Bruins,4,2,W
Ottawa Senators,2,0,W
New Jersey Devils,4,2,W
Philadelphia Flyers,5,4,W
Toronto Maple Leafs,1,4,L
Carolina Hurricanes,3,4,L
New Jersey Devils,1,6,L
New York Rangers,1,0,W
Columbus Blue Jackets,3,2,W
Tampa Bay Lightning,5,1,W
Carolina Hurricanes,2,3,L
Florida Panthers,3,4,L
Vegas Golden Knights,5,2,W
Carolina Hurricanes,4,2,W
Nashville Predators,1,4,L
St. Louis Blues,3,2,W
Arizona Coyotes,4,1,W
Columbus Blue Jackets,5,1,W
Buffalo Sabres,3,4,L
New York Rangers,1,5,L
Detroit Red Wings,11,2,W
New York Rangers,2,3,L
Minnesota Wild,4,3,W
Colorado Avalanche,2,3,L
Colorado Avalanche,4,6,L
New York Rangers,0,3,L
Washington Capitals,3,6,L
Nashville Predators,3,2,W
New York Islanders,4,5,L
New York Islanders,6,3,W
Boston Bruins,1,2,L
Boston Bruins,4,0,W
Detroit Red Wings,7,2,W
Philadelphia Flyers,1,4,L
Edmonton Oilers,1,5,L
Columbus Blue Jackets,5,3,W
Arizona Coyotes,6,2,W
Tampa Bay Lightning,6,2,W
Montreal Canadiens,2,3,L
Los Angeles Kings,6,1,W
Columbus Blue Jackets,6,3,W

